attempt	commit	window_id	result_dir	window_start	window_end	window_days	symbol_count	score	raw_net_return	trade_count	status	description	run_kind	candidate_score	recent_mean_score	worst_recent_score	passed_window_count	failed_window_count	promotion_decision	promotion_score	score_dispersion	cost_stress_score	cost_stress_ratio	rotating_probe_window_id	rotating_probe_score	promoted_commit
13	4ac5d5b	locked_recent_2026	results/promotion_0013_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	4	0.00013708966969475618	0.024676140545056114	945	promote	promote candidate: short-only ADA XRP AVAX LINK subset	promotion						promote	7.996613935797313e-05	3.808235355785536e-05	0.00011608966969475617	1.1725362753418647	validation_2025_h1	0.00019818717826718314	4ac5d5b
14	4ac5d5b	locked_recent_2026	results/2026-05-27T145716Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	4	0.00011443510899813328	0.02059831961966399	945	discard	promoted alt subset without ATR trailing stop	explore													
15	4ac5d5b	locked_recent_2026	results/2026-05-27T150015Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	4	8.927467138928278e-05	0.0160694408500709	744	discard	four-alt short-only require five votes	explore													
16	4ac5d5b	locked_recent_2026	results/2026-05-27T150315Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00016247836936877667	0.029246106486379802	709	discard	short-only ADA XRP AVAX high-conviction trio	explore													
17	4ac5d5b	validation_2025_h2	results/2026-05-27T150506Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	7.700201467001495e-05	0.01386036264060269	677	discard	diagnostic: ADA XRP AVAX trio H2	diagnostic													
18	4ac5d5b	validation_2025_h1	results/2026-05-27T150647Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.00015575945569634792	0.028036702025342627	691	discard	fixed guard: ADA XRP AVAX trio	diagnostic													
19	4ac5d5b	locked_recent_2026	results/promotion_0019_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00016247836936877667	0.029246106486379802	709	promote	promote candidate: short-only ADA XRP AVAX trio	promotion						promote	9.837110334470539e-05	4.273817734938086e-05	0.0001414709619613693	1.1814826715699058	validation_2025_h1	0.00015575945569634792	4ac5d5b
20	4ac5d5b	locked_recent_2026	results/2026-05-27T151519Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0001643042448721035	0.029574764076978628	697	discard	trio exclude consistently weak hours 01 and 04	explore													
21	4ac5d5b	validation_2025_h2	results/2026-05-27T151700Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.0001261251159314884	0.022702520867667914	657	discard	diagnostic: trio exclude hours 01 04 H2	diagnostic													
22	4ac5d5b	validation_2025_h1	results/2026-05-27T151845Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.0001366665988552669	0.024599987793948043	684	discard	fixed guard: trio exclude hours 01 04	diagnostic													
23	4ac5d5b	locked_recent_2026	results/promotion_0023_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0001643042448721035	0.029574764076978628	697	promote	promote candidate: ADA XRP AVAX trio exclude hours 01 04	promotion						promote	0.00013566989816664218	1.908956447030754e-05	0.00014365239302025165	0.9892415327622415	validation_2025_h1	0.0001366665988552669	4ac5d5b
24	4ac5d5b	locked_recent_2026	results/2026-05-27T152729Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00017549590780459182	0.031589263404826526	686	discard	trio exclude weak hours 01 02 04	explore													
25	4ac5d5b	validation_2025_h2	results/2026-05-27T152910Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.00014431248387246305	0.02597624709704335	647	discard	diagnostic: trio exclude weak hours 01 02 04 H2	diagnostic													
26	4ac5d5b	validation_2025_h1	results/2026-05-27T153050Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.0001246436493841449	0.02243585688914608	682	discard	fixed guard: trio exclude weak hours 01 02 04	diagnostic													
27	4ac5d5b	locked_recent_2026	results/promotion_0027_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00017549590780459182	0.031589263404826526	686	promote	promote candidate: ADA XRP AVAX trio exclude hours 01 02 04	promotion						promote	0.00015210833985549523	1.5591711966064385e-05	0.00015516998187866594	0.9703934350500587	validation_2025_h1	0.0001246436493841449	4ac5d5b
28	4ac5d5b	locked_recent_2026	results/2026-05-27T153943Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00024079454575086544	0.04334301823515578	666	keep	trio exclude weak hours 01 02 03 04	explore													
29	4ac5d5b	validation_2025_h1	results/2026-05-27T154122Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.00022167175459601412	0.03990091582728254	656	discard	fixed guard: trio exclude weak hours 01 02 03 04	diagnostic													
30	4ac5d5b	validation_2025_h2	results/2026-05-27T154250Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.00017574139147392753	0.03163345046530695	626	discard	diagnostic: trio exclude weak hours 01 02 03 04 H2	diagnostic													
31	4ac5d5b	locked_recent_2026	results/promotion_0031_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00024079454575086544	0.04334301823515578	666	promote	promote candidate: ADA XRP AVAX trio exclude hours 01 02 03 04	promotion						promote	0.00019200468004316201	3.252657713846895e-05	0.00022106121241753215	1.0614268429772074	validation_2025_h1	0.00022167175459601412	4ac5d5b
32	4ac5d5b	locked_recent_2026	results/2026-05-27T155045Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0002793674588825446	0.050286142598858025	661	keep	trio exclude recent weak hours 01 02 03 04 14	explore													
33	4ac5d5b	validation_2025_h1	results/2026-05-27T160726Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.0002104425883575805	0.03787966590436449	656	discard	fixed guard: trio exclude recent weak hours 01 02 03 04 14	diagnostic													
34	4ac5d5b	validation_2025_h2	results/2026-05-27T160903Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.0002058570011001448	0.03705426019802606	618	discard	diagnostic: trio exclude recent weak hours 01 02 03 04 14 H2	diagnostic													
35	4ac5d5b	locked_recent_2026	results/promotion_0035_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0002793674588825446	0.050286142598858025	661	promote	promote candidate: ADA XRP AVAX trio exclude hours 01 02 03 04 14	promotion						promote	0.00022423461554574471	3.6755228891199895e-05	0.00025978227369735944	1.0707715505794053	validation_2025_h1	0.0002104425883575805	4ac5d5b
36	4ac5d5b	locked_recent_2026	results/2026-05-27T161729Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0001370634560080932	0.024671422081456774	588	discard	exp251 fidelity params full causal history rsi exhaustion filter	explore													
37	4ac5d5b	locked_recent_2026	results/2026-05-27T161939Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0002669451522126576	0.04805012739827837	660	discard	ablation full causal history with promoted params	explore													
38	4ac5d5b	locked_recent_2026	results/2026-05-27T162134Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00026541665842060236	0.047774998515708426	662	discard	ablation exp251 params without rsi exhaustion filter	explore													
39	4ac5d5b	locked_recent_2026	results/2026-05-27T162413Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00041905118832381686	0.07542921389828704	661	keep	sizing variant promoted logic base position 12pct	explore													
40	4ac5d5b	validation_2025_h1	results/2026-05-27T162602Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.00031566388253637074	0.05681949885654673	656	discard	fixed guard: sizing variant promoted logic base position 12pct	diagnostic													
41	4ac5d5b	validation_2025_h2	results/2026-05-27T162737Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.00030878550165021714	0.05558139029703909	618	discard	diagnostic: sizing variant promoted logic base position 12pct H2	diagnostic													
42	4ac5d5b	locked_recent_2026	results/promotion_0042_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00041905118832381686	0.07542921389828704	661	promote	promote candidate: ADA XRP AVAX hours 01 02 03 04 14 base position 12pct	promotion						promote	0.00033635192331861707	5.513284333679986e-05	0.0003896734105460391	1.070771550579405	validation_2025_h1	0.00031566388253637074	4ac5d5b
43	4ac5d5b	locked_recent_2026	results/2026-05-27T163533Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0005587349177650892	0.10057228519771605	661	keep	sizing variant promoted logic base position 16pct	explore													
44	4ac5d5b	validation_2025_h1	results/2026-05-27T163706Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.000420885176715161	0.07575933180872899	656	discard	fixed guard: sizing variant promoted logic base position 16pct	diagnostic													
45	4ac5d5b	validation_2025_h2	results/2026-05-27T163839Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.0004117140022002896	0.07410852039605212	618	discard	diagnostic: sizing variant promoted logic base position 16pct H2	diagnostic													
46	4ac5d5b	locked_recent_2026	results/promotion_0046_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0005587349177650892	0.10057228519771605	661	promote	promote candidate: ADA XRP AVAX hours 01 02 03 04 14 base position 16pct	promotion						promote	0.00044846923109148943	7.351045778239979e-05	0.0005195645473947189	1.0707715505794053	validation_2025_h1	0.000420885176715161	4ac5d5b
47	4ac5d5b	locked_recent_2026	results/2026-05-27T164651Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0006984186472063613	0.12571535649714505	661	keep	sizing variant promoted logic base position 20pct	explore													
48	4ac5d5b	validation_2025_h1	results/2026-05-27T164826Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.0005261064708939513	0.09469916476091123	656	discard	fixed guard: sizing variant promoted logic base position 20pct	diagnostic													
49	4ac5d5b	validation_2025_h2	results/2026-05-27T164958Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.0005146425027503618	0.09263565049506513	618	discard	diagnostic: sizing variant promoted logic base position 20pct H2	diagnostic													
50	4ac5d5b	locked_recent_2026	results/promotion_0050_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0006984186472063613	0.12571535649714505	661	promote	promote candidate: ADA XRP AVAX hours 01 02 03 04 14 base position 20pct	promotion						promote	0.0005605865388643616	9.188807222799977e-05	0.0006494556842433983	1.070771550579405	validation_2025_h1	0.0005261064708939513	4ac5d5b
1	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T171417Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00031893924356521646	0.05740906384173896	227	keep	next50 funding-aware shorts require nonnegative funding	explore													
2	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T171614Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0002874987053517404	0.05174976696331327	457	discard	next50 funding-aware shorts avoid funding below minus 2bps	explore													
3	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T171752Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0007959534063738979	0.14327161314730164	661	keep	next50 ADA overweight 50 25 25 symbol allocation	explore													
4	4ac5d5b	validation_2025_h1	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T171933Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.000563658331885426	0.10145849973937669	656	discard	fixed guard: ADA overweight 50 25 25 symbol allocation	diagnostic													
5	4ac5d5b	validation_2025_h2	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T172115Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.0005890505854837267	0.10602910538707082	618	discard	diagnostic: ADA overweight 50 25 25 symbol allocation H2	diagnostic													
6	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/promotion_0006_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0007959534063738979	0.14327161314730164	661	promote	promote candidate: ADA overweight 50 25 25 symbol allocation	promotion						promote	0.0006407762907062696	0.00010345141044508559	0.0007468422952627868	1.078469520165196	validation_2025_h1	0.000563658331885426	4ac5d5b
7	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T174017Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00085447426187442	0.1538053671373956	661	keep	next50 stronger ADA overweight 60 20 20 allocation	explore													
8	4ac5d5b	validation_2025_h1	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T174157Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.000586189448480311	0.10551410072645598	656	discard	fixed guard: stronger ADA overweight 60 20 20 allocation	diagnostic													
9	4ac5d5b	validation_2025_h2	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T174342Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.0006336954351237456	0.11406517832227421	618	discard	diagnostic: stronger ADA overweight 60 20 20 allocation H2	diagnostic													
10	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/promotion_0010_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00085447426187442	0.1538053671373956	661	promote	promote candidate: stronger ADA overweight 60 20 20 allocation	promotion						promote	0.0006888901418114141	0.00011038941337533718	0.00080527426187442	1.082234456861693	validation_2025_h1	0.000586189448480311	4ac5d5b
11	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T175250Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0009129951173749418	0.16433912112748952	661	keep	next50 stronger ADA overweight 70 15 15 allocation	explore													
12	4ac5d5b	validation_2025_h1	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T175428Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.0006087205650751958	0.10956970171353525	656	discard	fixed guard: stronger ADA overweight 70 15 15 allocation	diagnostic													
13	4ac5d5b	validation_2025_h2	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T175604Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.0006783402847637645	0.1221012512574776	618	discard	diagnostic: stronger ADA overweight 70 15 15 allocation H2	diagnostic													
14	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/promotion_0014_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0009129951173749418	0.16433912112748952	661	promote	promote candidate: stronger ADA overweight 70 15 15 allocation	promotion						promote	0.0007370039929165587	0.00011732741630558866	0.000863706228486053	1.0855112345584195	validation_2025_h1	0.0006087205650751958	4ac5d5b
15	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T180344Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.000971515972875464	0.17487287511758354	661	keep	next50 stronger ADA overweight 80 10 10 allocation	explore													
16	4ac5d5b	validation_2025_h1	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T180518Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.0006312516816700809	0.11362530270061456	656	discard	fixed guard: stronger ADA overweight 80 10 10 allocation	diagnostic													
17	4ac5d5b	validation_2025_h2	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T180652Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.0007229851344037837	0.13013732419268106	618	discard	diagnostic: stronger ADA overweight 80 10 10 allocation H2	diagnostic													
18	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/promotion_0018_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.000971515972875464	0.17487287511758354	661	promote	promote candidate: stronger ADA overweight 80 10 10 allocation	promotion						promote	0.0007851178440217038	0.0001242654192358402	0.0009221381950976862	1.0883890144849828	validation_2025_h1	0.0006312516816700809	4ac5d5b
19	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T181445Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0010300368283759859	0.18540662910767747	661	keep	next50 near ADA-only 90 05 05 allocation	explore													
20	4ac5d5b	validation_2025_h1	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T181621Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.0006537827982649658	0.11768090368769385	656	discard	fixed guard: near ADA-only 90 05 05 allocation	diagnostic													
21	4ac5d5b	validation_2025_h2	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T181754Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.0007676299840438024	0.13817339712788443	618	discard	diagnostic: near ADA-only 90 05 05 allocation H2	diagnostic													
22	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/promotion_0022_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0010300368283759859	0.18540662910767747	661	promote	promote candidate: near ADA-only 90 05 05 allocation	promotion						promote	0.0008332316951268484	0.00013120342216609173	0.0009805701617093194	1.0909364904939216	validation_2025_h1	0.0006537827982649658	4ac5d5b
23	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T182522Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0010592972561262468	0.19067350610272443	661	keep	next50 ADA concentration ceiling 95 025 025 allocation	explore													
24	4ac5d5b	validation_2025_h1	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T182654Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.0006650483565624082	0.11970870418123347	656	discard	fixed guard: ADA concentration ceiling 95 025 025 allocation	diagnostic													
25	4ac5d5b	validation_2025_h2	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T182826Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.0007899524088638117	0.1421914335954861	618	discard	diagnostic: ADA concentration ceiling 95 025 025 allocation H2	diagnostic													
26	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/promotion_0026_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0010592972561262468	0.19067350610272443	661	promote	promote candidate: ADA concentration ceiling 95 025 025 allocation	promotion						promote	0.0008572886206794205	0.00013467242363121752	0.001009786145015136	1.0921036397976738	validation_2025_h1	0.0006650483565624082	4ac5d5b
27	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T183630Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00076967488764556	0.1385414797762008	639	discard	next50 soft RSI exhaustion filter short threshold 20	explore													
28	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T183812Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0009900450426131786	0.17820810767037212	655	discard	next50 extreme RSI exhaustion filter short threshold 10	explore													
29	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T184001Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0010705250433796299	0.1926945078083334	661	keep	next50 exclude negative decision hour 17	explore													
30	4ac5d5b	validation_2025_h1	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T184137Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.0006254068202368694	0.1125732276426365	653	discard	fixed guard: exclude negative decision hour 17	diagnostic													
31	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T184317Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0010361785548517457	0.18651213987331425	661	discard	next50 exclude negative decision hour 19	explore													
32	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T184457Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.001092129284425893	0.19658327119666075	657	keep	next50 exclude negative decision hour 20	explore													
33	4ac5d5b	validation_2025_h1	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T184629Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.0006617318996704307	0.11911174194067753	649	discard	fixed guard: exclude negative decision hour 20	diagnostic													
34	4ac5d5b	validation_2025_h2	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T184801Z-crypto_perp_autoresearch_ensemble	2025-07-01	2025-12-27	180	3	0.000842500452520825	0.1516500814537485	616	discard	diagnostic: exclude negative decision hour 20 H2	diagnostic													
35	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/promotion_0035_crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.001092129284425893	0.19658327119666075	657	promote	promote candidate: exclude negative decision hour 20	promotion						promote	0.0009049076604970921	0.00012481441595253403	0.0010428459510925597	1.078083243709885	validation_2025_h1	0.0006617318996704307	4ac5d5b
36	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T185536Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0011352896180580805	0.20435213125045448	655	keep	next50 stack exclusions hours 17 and 20	explore													
37	4ac5d5b	validation_2025_h1	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T185712Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.000622090363344892	0.11197626540208055	646	discard	fixed guard: stack exclusions hours 17 and 20	diagnostic													
38	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T185848Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0010838582959953776	0.19509449327916795	652	discard	next50 stack exclusions hours 19 and 20	explore													
39	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T190028Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0011613915909232705	0.2090504863661887	652	keep	next50 stack exclusions hours 08 and 20	explore													
40	4ac5d5b	validation_2025_h1	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T190202Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.00017751425876853542	0.031952566578336374	646	discard	fixed guard: stack exclusions hours 08 and 20	diagnostic													
41	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T190354Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.00042973970250861974	0.07735314645155156	520	discard	next50 high conviction require five votes	explore													
42	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T190534Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0011463901596559236	0.20635022873806627	657	discard	next50 tighter ATR stop multiplier 4	explore													
43	4ac5d5b	validation_2025_h1	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T190709Z-crypto_perp_autoresearch_ensemble	2025-01-01	2025-06-29	180	3	0.0005099644920730558	0.09179360857315004	649	discard	fixed guard: tighter ATR stop multiplier 4	diagnostic													
44	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T190848Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.001077238108859354	0.1939028595946837	657	discard	next50 wider ATR stop multiplier 7	explore													
45	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T191034Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0005728915637801669	0.10312048148043006	847	discard	next50 shorter max hold 480 bars	explore													
46	4ac5d5b	locked_recent_2026	results/next50_crypto_perp_autoresearch_ensemble/2026-05-27T191217Z-crypto_perp_autoresearch_ensemble	2025-10-16	2026-04-13	180	3	0.0006916748863909944	0.124501479550379	550	discard	next50 longer max hold 960 bars	explore													
